Label	Slice	CSA	X_cent._(_)	Y_cent._(_)	wX_cent._(_)	wY_cent._(_)	Theta_(rad)	R1_(_)	R2_(_)	Imin_(_^4)	Imax_(_^4)	Ipm_(_^4)	Zmax_(_A^3)	Zmin_(_A^3)	Zpol_(_A^3)	Feret_Min_(_)	Feret_Max_(_)	Feret_Angle_(rad)	Perimeter_(_)	Max_Thick_2D_(_)	Mean_Thick_2D_(_)	SD_Thick_2D_(_)
Aligned_pair1_v	14	0.104	0.281	0.394	0.281	0.394	-1.566	0.161	0.21	6.35E-04	0.001	0.017	0.006	0.004	0.009	0.331	0.465	1.249	1.251	0	NaN	NaN
Aligned_pair1_v	15	0.093	0.282	0.394	0.282	0.394	-1.391	0.152	0.216	4.99E-04	0.001	0.015	0.005	0.003	0.007	0.331	0.465	1.249	1.229	0.367	0.264	0.125
Aligned_pair1_v	16	0.097	0.287	0.391	0.287	0.391	-1.452	0.159	0.207	5.50E-04	0.001	0.016	0.005	0.003	0.008	0.331	0.447	1.736	1.199	0.625	0.569	0.14
Aligned_pair1_v	17	0.101	0.284	0.39	0.284	0.39	-1.568	0.157	0.206	5.71E-04	0.001	0.017	0.006	0.004	0.008	0.331	0.465	1.893	1.272	0.625	0.569	0.14
Aligned_pair1_v	18	0.113	0.29	0.386	0.29	0.386	1.431	0.154	0.247	6.92E-04	0.002	0.019	0.007	0.004	0.009	0.331	0.52	1.713	1.398	0	0	0
Aligned_pair1_v	19	0.112	0.292	0.398	0.292	0.398	1.36	0.159	0.23	6.83E-04	0.002	0.018	0.007	0.004	0.01	0.331	0.5	1.869	1.355	0.625	0.569	0.14
Aligned_pair1_v	20	0.108	0.283	0.383	0.283	0.383	1.515	0.174	0.207	7.39E-04	0.001	0.018	0.006	0.004	0.009	0.362	0.455	1.816	1.333	0	0	0
Aligned_pair1_v	21	0.104	0.285	0.382	0.285	0.382	1.444	0.156	0.205	6.28E-04	0.001	0.017	0.006	0.004	0.009	0.331	0.455	1.816	1.281	0	NaN	NaN
Aligned_pair1_v	22	0.107	0.301	0.38	0.301	0.38	-1.569	0.177	0.208	6.94E-04	0.001	0.018	0.006	0.004	0.009	0.356	0.465	1.893	1.385	0.478	0.431	0.09
Aligned_pair1_v	23	0.099	0.302	0.384	0.302	0.384	1.454	0.148	0.202	5.76E-04	0.001	0.016	0.005	0.004	0.008	0.331	0.447	1.406	1.251	0.294	0.283	0.038
Aligned_pair1_v	24	0.111	0.291	0.371	0.291	0.371	1.326	0.146	0.234	6.11E-04	0.002	0.017	0.007	0.004	0.01	0.321	0.512	1.938	1.355	0.294	0.283	0.038
Aligned_pair1_v	25	0.092	0.292	0.367	0.292	0.367	-1.562	0.15	0.184	5.75E-04	8.53E-04	0.015	0.005	0.004	0.007	0.331	0.429	1.03	1.281	0.294	0.278	0.052
Aligned_pair1_v	26	0.092	0.288	0.373	0.288	0.373	1.468	0.145	0.211	5.17E-04	9.66E-04	0.015	0.005	0.004	0.007	0.314	0.444	1.144	1.324	0	0	0
Aligned_pair1_v	27	0.105	0.286	0.383	0.286	0.383	1.451	0.165	0.217	6.22E-04	0.001	0.017	0.006	0.004	0.009	0.331	0.493	2.034	1.416	0	NaN	NaN
Aligned_pair1_v	28	0.107	0.293	0.381	0.293	0.381	1.507	0.152	0.209	6.71E-04	0.001	0.018	0.006	0.004	0.009	0.331	0.455	1.816	1.355	0	0	0
Aligned_pair1_v	29	0.104	0.294	0.373	0.294	0.373	1.473	0.15	0.229	5.88E-04	0.001	0.017	0.006	0.004	0.009	0.319	0.5	1.869	1.385	0.294	0.29	0.023
Aligned_pair1_v	30	0.107	0.301	0.363	0.301	0.363	1.522	0.152	0.225	5.95E-04	0.002	0.018	0.007	0.004	0.009	0.331	0.49	1.798	1.459	0	NaN	NaN
Aligned_pair1_v	31	0.107	0.298	0.369	0.298	0.369	1.539	0.152	0.223	5.94E-04	0.002	0.018	0.007	0.004	0.009	0.326	0.5	1.272	1.407	0.588	0.588	0
Aligned_pair1_v	32	0.1	0.295	0.374	0.295	0.374	1.496	0.145	0.229	5.02E-04	0.001	0.017	0.006	0.003	0.008	0.314	0.49	1.798	1.355	0.588	0.549	0.119
Aligned_pair1_v	33	0.101	0.29	0.364	0.29	0.364	1.495	0.146	0.224	5.43E-04	0.001	0.017	0.006	0.004	0.008	0.326	0.483	1.723	1.407	0.588	0.541	0.111
Aligned_pair1_v	34	0.107	0.291	0.365	0.291	0.365	1.46	0.147	0.226	5.72E-04	0.002	0.018	0.007	0.004	0.009	0.326	0.49	1.798	1.407	0	0	0
Aligned_pair1_v	35	0.107	0.294	0.36	0.294	0.36	1.456	0.151	0.234	6.17E-04	0.001	0.018	0.006	0.004	0.009	0.331	0.5	1.869	1.52	0.294	0.28	0.047
Aligned_pair1_v	36	0.105	0.293	0.352	0.293	0.352	1.486	0.149	0.238	5.63E-04	0.001	0.017	0.006	0.004	0.008	0.331	0.5	1.869	1.303	0	0	0
Aligned_pair1_v	37	0.111	0.299	0.357	0.299	0.357	1.402	0.162	0.227	6.74E-04	0.002	0.018	0.007	0.004	0.009	0.349	0.483	1.723	1.333	0.588	0.57	0.069
Aligned_pair1_v	38	0.109	0.299	0.354	0.299	0.354	1.427	0.149	0.248	6.31E-04	0.002	0.018	0.006	0.004	0.009	0.326	0.5	1.869	1.376	0.294	0.288	0.024
Aligned_pair1_v	39	0.104	0.295	0.34	0.295	0.34	1.374	0.158	0.204	6.26E-04	0.001	0.017	0.006	0.004	0.009	0.331	0.46	2.07	1.242	0.294	0.29	0.023
Aligned_pair1_v	40	0.104	0.289	0.329	0.289	0.329	1.338	0.139	0.22	5.65E-04	0.001	0.016	0.006	0.004	0.009	0.314	0.483	1.723	1.303	0.294	0.282	0.036
Aligned_pair1_v	41	0.103	0.293	0.349	0.293	0.349	1.423	0.144	0.236	5.36E-04	0.001	0.017	0.006	0.004	0.008	0.314	0.483	1.723	1.333	0.588	0.575	0.071
Aligned_pair1_v	42	0.104	0.286	0.341	0.286	0.341	1.462	0.151	0.24	5.24E-04	0.002	0.017	0.007	0.003	0.008	0.331	0.5	1.869	1.398	0	0	0
Aligned_pair1_v	43	0.103	0.286	0.339	0.286	0.339	1.509	0.15	0.233	5.25E-04	0.001	0.017	0.006	0.003	0.008	0.331	0.49	1.798	1.303	0	NaN	NaN
Aligned_pair1_v	44	0.112	0.294	0.332	0.294	0.332	1.45	0.159	0.23	6.67E-04	0.002	0.018	0.007	0.004	0.01	0.331	0.5	1.272	1.398	0	0	0
Aligned_pair1_v	45	0.103	0.288	0.338	0.288	0.338	1.548	0.154	0.228	5.60E-04	0.001	0.017	0.006	0.004	0.008	0.331	0.483	1.723	1.281	0.367	0.364	0.032
Aligned_pair1_v	46	0.101	0.282	0.337	0.282	0.337	-1.541	0.134	0.228	5.00E-04	0.001	0.017	0.006	0.004	0.008	0.294	0.5	1.272	1.324	0.367	0.324	0.07
Aligned_pair1_v	47	0.1	0.281	0.339	0.281	0.339	-1.532	0.133	0.23	4.48E-04	0.001	0.017	0.006	0.003	0.008	0.294	0.5	1.272	1.294	0.625	0.596	0.086
Aligned_pair1_v	48	0.103	0.285	0.332	0.285	0.332	-1.569	0.138	0.259	4.92E-04	0.002	0.017	0.006	0.004	0.008	0.294	0.52	1.713	1.324	0.294	0.269	0.054
Aligned_pair1_v	49	0.099	0.284	0.344	0.284	0.344	-1.373	0.145	0.231	5.52E-04	0.001	0.016	0.006	0.004	0.008	0.321	0.5	1.869	1.554	0	NaN	NaN
Aligned_pair1_v	50	0.101	0.287	0.347	0.287	0.347	-1.366	0.148	0.241	5.56E-04	0.001	0.016	0.005	0.004	0.008	0.294	0.49	1.344	1.242	0	0	0
Aligned_pair1_v	51	0.101	0.293	0.347	0.293	0.347	-1.437	0.152	0.244	5.13E-04	0.001	0.017	0.006	0.003	0.008	0.294	0.512	1.204	1.407	0.294	0.259	0.06
Aligned_pair1_v	52	0.095	0.293	0.348	0.293	0.348	-1.469	0.144	0.24	4.32E-04	0.001	0.016	0.005	0.003	0.007	0.294	0.483	1.418	1.333	0	0	0
Aligned_pair1_v	53	0.096	0.295	0.349	0.295	0.349	-1.41	0.131	0.211	4.66E-04	0.001	0.016	0.006	0.004	0.008	0.294	0.46	1.071	1.242	0.331	0.31	0.048
Aligned_pair1_v	54	0.111	0.289	0.325	0.289	0.325	-1.516	0.147	0.254	5.88E-04	0.002	0.018	0.007	0.004	0.009	0.294	0.526	1.36	1.541	0.331	0.31	0.048
Aligned_pair1_v	55	0.12	0.288	0.316	0.288	0.316	-1.44	0.144	0.242	6.92E-04	0.002	0.02	0.008	0.005	0.011	0.324	0.526	1.782	1.459	0	NaN	NaN
Aligned_pair1_v	56	0.112	0.288	0.317	0.288	0.317	-1.375	0.145	0.242	6.26E-04	0.002	0.018	0.007	0.004	0.01	0.326	0.526	1.138	1.541	0	NaN	NaN
Aligned_pair1_v	57	0.113	0.284	0.319	0.284	0.319	-1.464	0.141	0.249	6.28E-04	0.002	0.019	0.007	0.004	0.01	0.319	0.535	1.292	1.541	0.294	0.288	0.024
