Label	Slice	CSA	X_cent._(_)	Y_cent._(_)	wX_cent._(_)	wY_cent._(_)	Theta_(rad)	R1_(_)	R2_(_)	Imin_(_^4)	Imax_(_^4)	Ipm_(_^4)	Zmax_(_A^3)	Zmin_(_A^3)	Zpol_(_A^3)	Feret_Min_(_)	Feret_Max_(_)	Feret_Angle_(rad)	Perimeter_(_)	Max_Thick_2D_(_)	Mean_Thick_2D_(_)	SD_Thick_2D_(_)	Cr_(rad)	M_(rad)	ICrCa(_^4)	IML(_^4)	ZCrCa(__A)	ZML(__A)	RCrCa(_)	RML(_)	DCrCa(_)	DML(_)
Aligned_pair1_d	14	0.966	0.748	1.379	0.748	1.379	1.518	0.396	0.718	0.047	0.125	0.16	0.175	0.118	0.238	0.84	1.442	2.078	3.965	0	0	0	0	1.571	0.047	0.125	0.118	0.173	0.398	0.721	1.4	0.84
Aligned_pair1_d	15	0.985	0.75	1.369	0.75	1.369	1.558	0.375	0.731	0.044	0.143	0.164	0.196	0.117	0.251	0.77	1.511	1.805	4.064	2.03	1.919	0.176	0	1.571	0.044	0.143	0.118	0.196	0.37	0.732	1.47	0.77
Aligned_pair1_d	16	0.975	0.753	1.375	0.753	1.375	1.561	0.372	0.748	0.044	0.14	0.163	0.187	0.117	0.232	0.77	1.566	1.751	4.006	0.84	0.812	0.079	0	1.571	0.044	0.14	0.119	0.188	0.368	0.745	1.54	0.77
Aligned_pair1_d	17	0.98	0.748	1.359	0.748	1.359	1.549	0.38	0.74	0.043	0.143	0.163	0.194	0.112	0.241	0.77	1.566	1.751	4.006	0	0	0	0	1.571	0.043	0.143	0.115	0.193	0.372	0.741	1.54	0.77
Aligned_pair1_d	18	1.005	0.753	1.364	0.753	1.364	1.489	0.392	0.753	0.044	0.153	0.166	0.203	0.113	0.253	0.77	1.58	1.794	4.047	0	0	0	0	1.571	0.045	0.152	0.123	0.206	0.367	0.736	1.54	0.77
Aligned_pair1_d	19	0.99	0.769	1.352	0.769	1.352	1.446	0.42	0.751	0.045	0.141	0.162	0.188	0.107	0.241	0.84	1.535	1.994	4.006	0	0	0	0	1.571	0.046	0.14	0.11	0.194	0.421	0.722	1.47	0.84
Aligned_pair1_d	20	1.01	0.791	1.34	0.791	1.34	1.429	0.426	0.745	0.045	0.155	0.165	0.208	0.106	0.26	0.84	1.573	1.935	4.163	0.84	0.794	0.072	0	1.571	0.047	0.153	0.119	0.201	0.399	0.761	1.54	0.84
Aligned_pair1_d	21	0.941	0.793	1.33	0.793	1.33	1.512	0.4	0.717	0.04	0.137	0.156	0.192	0.099	0.232	0.814	1.511	1.805	4.006	0.754	0.724	0.048	0	1.571	0.04	0.137	0.1	0.196	0.397	0.7	1.47	0.84
Aligned_pair1_d	22	0.931	0.8	1.345	0.8	1.345	1.524	0.394	0.725	0.038	0.135	0.155	0.187	0.095	0.229	0.822	1.511	1.805	4.081	0	0	0	0	1.571	0.038	0.135	0.097	0.189	0.39	0.714	1.47	0.84
Aligned_pair1_d	23	0.951	0.773	1.337	0.773	1.337	1.569	0.353	0.637	0.042	0.127	0.158	0.2	0.12	0.248	0.77	1.443	1.172	3.808	0.84	0.833	0.024	0	1.571	0.042	0.127	0.12	0.2	0.353	0.637	1.33	0.77
