"fin" "slice" "csa" "second_moment_min" "second_moment_max"
"Aligned_pair1_v" 14 0.104 0.000635 0.001
"Aligned_pair1_v" 15 0.093 0.000499 0.001
"Aligned_pair1_v" 16 0.097 0.00055 0.001
"Aligned_pair1_v" 17 0.101 0.000571 0.001
"Aligned_pair1_v" 18 0.113 0.000692 0.002
"Aligned_pair1_v" 19 0.112 0.000683 0.002
"Aligned_pair1_v" 20 0.108 0.000739 0.001
"Aligned_pair1_v" 21 0.104 0.000628 0.001
"Aligned_pair1_v" 22 0.107 0.000694 0.001
"Aligned_pair1_v" 23 0.099 0.000576 0.001
"Aligned_pair1_v" 24 0.111 0.000611 0.002
"Aligned_pair1_v" 25 0.092 0.000575 0.000853
"Aligned_pair1_v" 26 0.092 0.000517 0.000966
"Aligned_pair1_v" 27 0.105 0.000622 0.001
"Aligned_pair1_v" 28 0.107 0.000671 0.001
"Aligned_pair1_v" 29 0.104 0.000588 0.001
"Aligned_pair1_v" 30 0.107 0.000595 0.002
"Aligned_pair1_v" 31 0.107 0.000594 0.002
"Aligned_pair1_v" 32 0.1 0.000502 0.001
"Aligned_pair1_v" 33 0.101 0.000543 0.001
"Aligned_pair1_v" 34 0.107 0.000572 0.002
"Aligned_pair1_v" 35 0.107 0.000617 0.001
"Aligned_pair1_v" 36 0.105 0.000563 0.001
"Aligned_pair1_v" 37 0.111 0.000674 0.002
"Aligned_pair1_v" 38 0.109 0.000631 0.002
"Aligned_pair1_v" 39 0.104 0.000626 0.001
"Aligned_pair1_v" 40 0.104 0.000565 0.001
"Aligned_pair1_v" 41 0.103 0.000536 0.001
"Aligned_pair1_v" 42 0.104 0.000524 0.002
"Aligned_pair1_v" 43 0.103 0.000525 0.001
"Aligned_pair1_v" 44 0.112 0.000667 0.002
"Aligned_pair1_v" 45 0.103 0.00056 0.001
"Aligned_pair1_v" 46 0.101 5e-04 0.001
"Aligned_pair1_v" 47 0.1 0.000448 0.001
"Aligned_pair1_v" 48 0.103 0.000492 0.002
"Aligned_pair1_v" 49 0.099 0.000552 0.001
"Aligned_pair1_v" 50 0.101 0.000556 0.001
"Aligned_pair1_v" 51 0.101 0.000513 0.001
"Aligned_pair1_v" 52 0.095 0.000432 0.001
"Aligned_pair1_v" 53 0.096 0.000466 0.001
"Aligned_pair1_v" 54 0.111 0.000588 0.002
"Aligned_pair1_v" 55 0.12 0.000692 0.002
"Aligned_pair1_v" 56 0.112 0.000626 0.002
"Aligned_pair1_v" 57 0.113 0.000628 0.002
"Aligned_pair1_v" 58 0.104 0.000494 0.002
"Aligned_pair1_v" 59 0.103 0.000512 0.002
"Aligned_pair1_v" 60 0.095 0.000457 0.001
"Aligned_pair1_v" 61 0.099 0.000459 0.001
"Aligned_pair1_v" 62 0.089 0.000392 0.001
"Aligned_pair1_v" 63 0.089 0.000416 0.001
"Aligned_pair1_v" 64 0.09 0.000375 0.001
"Aligned_pair1_v" 65 0.095 0.000434 0.001
"Aligned_pair1_v" 66 0.09 0.000344 0.001
"Aligned_pair1_v" 67 0.085 0.000345 0.001
"Aligned_pair1_v" 68 0.08 0.000307 0.000898
"Aligned_pair1_v" 69 0.084 0.000366 0.001
"Aligned_pair1_v" 70 0.085 0.000366 0.001
"Aligned_pair1_v" 71 0.074 0.000292 0.000807
"Aligned_pair1_v" 72 0.074 0.000307 0.000706
"Aligned_pair1_v" 73 0.077 0.00034 0.000784
"Aligned_pair1_v" 74 0.078 0.00033 0.000908
"Aligned_pair1_v" 75 0.078 0.00033 0.000884
"Aligned_pair1_v" 76 0.07 0.000246 0.000714
"Aligned_pair1_v" 77 0.073 0.000252 0.000823
"Aligned_pair1_v" 78 0.073 0.000278 0.00073
"Aligned_pair1_v" 79 0.07 0.000228 0.000728
"Aligned_pair1_v" 80 0.069 0.000242 0.000654
"Aligned_pair1_v" 81 0.07 0.000256 0.000712
"Aligned_pair1_v" 82 0.065 0.000245 0.000578
"Aligned_pair1_v" 83 0.065 0.000249 0.000531
"Aligned_pair1_v" 84 0.063 0.000224 0.000549
"Aligned_pair1_v" 85 0.063 0.000235 0.000555
"Aligned_pair1_v" 86 0.063 0.000214 0.000596
"Aligned_pair1_v" 87 0.058 0.000194 0.00046
"Aligned_pair1_v" 88 0.063 0.000242 5e-04
"Aligned_pair1_v" 89 0.066 0.000302 0.000498
"Aligned_pair1_v" 90 0.069 0.000287 0.000623
"Aligned_pair1_v" 91 0.062 0.000271 0.000439
"Aligned_pair1_v" 92 0.059 2e-04 0.000451
"Aligned_pair1_v" 93 0.062 0.00024 0.000507
"Aligned_pair1_v" 94 0.065 0.000259 0.000536
"Aligned_pair1_v" 95 0.074 0.000346 0.000681
"Aligned_pair1_v" 96 0.074 0.000327 0.000705
"Aligned_pair1_v" 97 0.073 0.000303 0.00072
"Aligned_pair1_v" 98 0.081 0.000402 0.000851
"Aligned_pair1_v" 99 0.077 0.000311 0.000837
"Aligned_pair1_v" 100 0.084 0.000362 0.000988
"Aligned_pair1_v" 101 0.085 0.000365 0.001
"Aligned_pair1_v" 102 0.077 0.000256 0.000977
"Aligned_pair1_v" 103 0.076 0.000269 0.000866
"Aligned_pair1_v" 104 0.074 0.000243 0.000971
"Aligned_pair1_v" 105 0.072 0.000213 0.000912
"Aligned_pair1_v" 106 0.073 0.000239 0.000915
"Aligned_pair1_v" 107 0.076 0.000289 0.000839
"Aligned_pair1_v" 108 0.084 0.000357 0.000958
"Aligned_pair1_v" 109 0.078 0.00029 0.000931
"Aligned_pair2_d" 9 0.097 0.000621 0.000997
"Aligned_pair2_d" 10 0.107 0.000657 0.001
"Aligned_pair2_d" 11 0.1 0.000581 0.001
"Aligned_pair2_d" 12 0.103 0.000622 0.001
"Aligned_pair2_d" 13 0.111 0.000683 0.002
"Aligned_pair2_d" 14 0.101 0.000585 0.001
"Aligned_pair2_d" 15 0.105 0.000701 0.001
"Aligned_pair2_d" 16 0.101 0.000611 0.001
"Aligned_pair2_d" 17 0.096 0.000563 0.001
"Aligned_pair2_d" 18 0.096 0.000499 0.001
"Aligned_pair2_d" 19 0.105 0.00063 0.001
"Aligned_pair2_d" 20 0.103 0.000584 0.001
"Aligned_pair2_d" 21 0.103 0.000558 0.001
"Aligned_pair2_d" 22 0.104 0.000609 0.001
"Aligned_pair2_d" 23 0.103 0.000558 0.001
"Aligned_pair2_d" 24 0.109 0.000617 0.002
"Aligned_pair2_d" 25 0.109 0.000682 0.001
"Aligned_pair2_d" 26 0.103 0.000616 0.001
"Aligned_pair2_d" 27 0.105 0.000635 0.001
"Aligned_pair2_d" 28 0.101 0.000632 0.001
"Aligned_pair2_d" 29 0.105 0.000623 0.001
"Aligned_pair2_d" 30 0.104 0.00056 0.001
"Aligned_pair2_d" 31 0.101 0.000653 0.001
"Aligned_pair2_d" 32 0.105 0.000659 0.001
"Aligned_pair2_d" 33 0.097 0.000528 0.001
"Aligned_pair2_d" 34 0.109 0.000583 0.002
"Aligned_pair2_d" 35 0.113 0.000634 0.002
"Aligned_pair2_d" 36 0.111 0.000602 0.002
"Aligned_pair2_d" 37 0.097 0.000448 0.002
"Aligned_pair2_d" 38 0.1 0.000468 0.001
"Aligned_pair2_d" 39 0.09 0.000399 0.001
"Aligned_pair2_d" 40 0.092 0.000461 0.001
"Aligned_pair2_d" 41 0.089 0.00043 0.000986
"Aligned_pair2_d" 42 0.082 0.000403 0.000816
"Aligned_pair2_d" 43 0.081 0.00031 0.000956
"Aligned_pair2_d" 44 0.08 0.000331 0.00084
"Aligned_pair2_d" 45 0.082 0.000323 0.000954
"Aligned_pair2_d" 46 0.086 0.000401 0.000946
"Aligned_pair2_d" 47 0.081 0.000342 0.000851
"Aligned_pair2_d" 48 0.084 0.000321 0.001
"Aligned_pair2_d" 49 0.081 0.00036 0.000822
"Aligned_pair2_d" 50 0.089 0.000408 0.001
"Aligned_pair2_d" 51 0.093 0.000479 0.001
"Aligned_pair2_d" 52 0.095 0.000544 0.001
"Aligned_pair2_d" 53 0.095 0.000481 0.001
"Aligned_pair2_d" 54 0.089 0.000462 0.000968
"Aligned_pair2_d" 55 0.096 0.000545 0.001
"Aligned_pair2_d" 56 0.09 0.000518 0.000896
"Aligned_pair2_d" 57 0.092 0.000576 0.000835
"Aligned_pair2_d" 58 0.095 0.000569 0.000974
"Aligned_pair2_d" 59 0.1 0.000623 0.001
"Aligned_pair2_d" 60 0.088 0.00046 0.000877
"Aligned_pair2_d" 61 0.082 0.000382 0.00083
"Aligned_pair2_d" 62 0.09 0.000484 0.000959
"Aligned_pair2_d" 63 0.081 0.000417 0.000714
"Aligned_pair2_d" 64 0.08 0.000357 0.000807
"Aligned_pair2_d" 65 0.077 0.00029 0.000844
"Aligned_pair2_d" 66 0.068 0.000226 0.000623
"Aligned_pair2_d" 67 0.072 0.000281 0.000655
"Aligned_pair2_d" 68 0.085 0.00041 0.000872
"Aligned_pair2_d" 69 0.082 0.000451 0.000695
"Aligned_pair2_d" 70 0.076 0.00042 0.000532
"Aligned_pair2_d" 71 0.069 0.000308 0.000497
"Aligned_pair2_d" 72 0.072 0.000347 0.000534
"Aligned_pair2_d" 73 0.081 0.000468 0.000632
"Aligned_pair2_d" 74 0.074 0.000405 0.000573
"Aligned_pair2_d" 75 0.073 0.000372 0.000545
"Aligned_pair2_d" 76 0.08 0.000485 0.000582
"Aligned_pair2_d" 77 0.082 0.000492 0.000663
"Aligned_pair2_d" 78 0.092 0.00064 0.000752
"Aligned_pair2_d" 79 0.082 0.000472 0.000665
"Aligned_pair2_d" 80 0.089 0.000631 0.000698
"Aligned_pair2_d" 81 0.076 0.00035 0.000648
"Aligned_pair2_d" 82 0.074 0.000298 0.000719
"Aligned_pair2_d" 83 0.077 0.000364 0.00069
"Aligned_pair2_d" 84 0.076 0.000378 0.000608
"Aligned_pair2_d" 85 0.077 0.000373 0.000669
"Aligned_pair2_d" 86 0.069 0.000301 0.000514
"Aligned_pair2_d" 87 0.078 0.000407 0.000665
"Aligned_pair2_v" 8 0.099 0.000475 0.001
"Aligned_pair2_v" 9 0.1 0.000477 0.001
"Aligned_pair2_v" 10 0.1 0.000447 0.002
"Aligned_pair2_v" 11 0.105 0.000492 0.002
"Aligned_pair2_v" 12 0.099 4e-04 0.002
"Aligned_pair2_v" 13 0.099 0.000479 0.001
"Aligned_pair2_v" 14 0.093 0.000427 0.001
"Aligned_pair2_v" 15 0.09 0.000418 0.001
"Aligned_pair2_v" 16 0.096 0.000442 0.001
"Aligned_pair2_v" 17 0.103 0.000558 0.001
"Aligned_pair2_v" 18 0.09 0.000424 0.001
"Aligned_pair2_v" 19 0.088 0.000398 0.001
"Aligned_pair2_v" 20 0.086 0.000362 0.001
"Aligned_pair2_v" 21 0.085 0.000331 0.001
"Aligned_pair2_v" 22 0.09 0.000364 0.001
"Aligned_pair2_v" 23 0.088 0.000376 0.001
"Aligned_pair2_v" 24 0.095 0.000405 0.001
"Aligned_pair2_v" 25 0.093 0.00037 0.001
"Aligned_pair2_v" 26 0.099 0.000444 0.001
"Aligned_pair2_v" 27 0.107 0.000548 0.002
"Aligned_pair2_v" 28 0.108 0.000617 0.002
"Aligned_pair2_v" 29 0.1 0.000492 0.001
"Aligned_pair2_v" 30 0.096 0.000454 0.001
"Aligned_pair2_v" 31 0.095 0.000445 0.001
"Aligned_pair2_v" 32 0.092 0.00039 0.001
"Aligned_pair2_v" 33 0.09 0.000362 0.001
"Aligned_pair2_v" 34 0.084 0.000301 0.001
"Aligned_pair2_v" 35 0.085 0.000322 0.001
"Aligned_pair2_v" 36 0.084 0.000303 0.001
"Aligned_pair2_v" 37 0.085 0.000295 0.001
"Aligned_pair2_v" 38 0.077 0.000246 0.001
"Aligned_pair2_v" 39 0.074 0.000265 0.000883
"Aligned_pair2_v" 40 0.074 0.000243 0.00086
"Aligned_pair2_v" 41 0.073 0.000255 0.000786
"Aligned_pair2_v" 42 0.076 0.000271 0.000878
"Aligned_pair2_v" 43 0.08 0.00029 0.001
"Aligned_pair2_v" 44 0.078 0.000272 0.000972
"Aligned_pair2_v" 45 0.081 0.000291 0.001
"Aligned_pair2_v" 46 0.082 0.000323 0.001
"Aligned_pair2_v" 47 0.085 0.000324 0.001
"Aligned_pair2_v" 48 0.082 0.000329 0.001
