fin	slice	csa	second_moment_min	second_moment_max
Aligned_pair3_d	14	0.966	0.047	0.125
Aligned_pair3_d	15	0.985	0.044	0.143
Aligned_pair3_d	16	0.975	0.044	0.14
Aligned_pair3_d	17	0.98	0.043	0.143
Aligned_pair3_d	18	1.005	0.044	0.153
Aligned_pair3_d	19	0.99	0.045	0.141
Aligned_pair3_d	20	1.01	0.045	0.155
Aligned_pair3_d	21	0.941	0.04	0.137
Aligned_pair3_d	22	0.931	0.038	0.135
Aligned_pair3_d	23	0.951	0.042	0.127
Aligned_pair3_d	24	0.956	0.045	0.125
Aligned_pair3_d	25	0.975	0.047	0.127
Aligned_pair3_d	26	0.956	0.046	0.12
Aligned_pair3_d	27	0.961	0.046	0.127
Aligned_pair3_d	28	0.985	0.048	0.128
Aligned_pair3_d	29	0.99	0.05	0.125
Aligned_pair3_d	30	1.034	0.054	0.139
Aligned_pair3_d	31	1.039	0.059	0.132
Aligned_pair3_d	32	1.039	0.06	0.128
Aligned_pair3_d	33	1.073	0.065	0.138
Aligned_pair3_d	34	1.078	0.061	0.144
Aligned_pair3_d	35	1.088	0.061	0.149
Aligned_pair3_d	36	1.088	0.06	0.149
Aligned_pair3_d	37	1.122	0.064	0.16
Aligned_pair3_d	38	1.103	0.064	0.149
Aligned_pair3_d	39	1.103	0.064	0.153
Aligned_pair3_d	40	1.059	0.059	0.139
Aligned_pair3_d	41	1.02	0.054	0.131
Aligned_pair3_d	42	1.024	0.054	0.134
Aligned_pair3_d	43	1.044	0.054	0.148
Aligned_pair3_d	44	1.059	0.056	0.15
Aligned_pair3_d	45	1.059	0.054	0.153
Aligned_pair3_d	46	1.049	0.054	0.15
Aligned_pair3_d	47	1.049	0.058	0.141
Aligned_pair3_d	48	1.073	0.061	0.144
Aligned_pair3_d	49	1.127	0.073	0.151
Aligned_pair3_d	50	1.118	0.077	0.135
Aligned_pair3_d	51	1.088	0.071	0.132
Aligned_pair3_d	52	1.122	0.072	0.149
Aligned_pair3_d	53	1.103	0.074	0.137
Aligned_pair3_d	54	1.083	0.072	0.126
Aligned_pair3_d	55	1.054	0.067	0.122
Aligned_pair3_d	56	1.073	0.072	0.124
Aligned_pair3_d	57	1.059	0.072	0.117
Aligned_pair3_d	58	1.059	0.071	0.121
Aligned_pair3_d	59	1.054	0.07	0.117
Aligned_pair3_d	60	1.069	0.069	0.126
Aligned_pair3_d	61	1.049	0.066	0.123
Aligned_pair3_d	62	1.098	0.073	0.14
Aligned_pair3_d	63	1.103	0.074	0.137
Aligned_pair3_d	64	1.078	0.07	0.136
Aligned_pair3_d	65	1.01	0.057	0.127
Aligned_pair3_d	66	1.005	0.057	0.126
Aligned_pair3_d	67	0.966	0.051	0.12
Aligned_pair3_d	68	0.951	0.049	0.122
Aligned_pair3_d	69	1.01	0.057	0.123
Aligned_pair3_d	70	1.024	0.06	0.125
Aligned_pair3_d	71	0.975	0.051	0.123
Aligned_pair3_d	72	0.946	0.047	0.122
Aligned_pair3_d	73	0.985	0.049	0.136
Aligned_pair3_d	74	0.98	0.052	0.134
Aligned_pair3_d	75	1.01	0.052	0.141
Aligned_pair3_d	76	0.995	0.051	0.134
Aligned_pair3_d	77	0.98	0.049	0.135
Aligned_pair3_d	78	0.966	0.047	0.133
Aligned_pair3_d	79	0.936	0.044	0.123
Aligned_pair3_d	80	0.912	0.044	0.115
Aligned_pair3_d	81	0.971	0.051	0.12
Aligned_pair3_d	82	0.971	0.049	0.124
Aligned_pair3_d	83	1	0.05	0.143
Aligned_pair3_d	84	1.024	0.052	0.148
Aligned_pair3_d	85	1.024	0.056	0.136
Aligned_pair3_d	86	1.034	0.057	0.137
Aligned_pair3_d	87	1.059	0.062	0.14
Aligned_pair3_d	88	1.049	0.062	0.134
Aligned_pair3_d	89	1.049	0.064	0.136
Aligned_pair3_d	90	1.083	0.064	0.145
Aligned_pair3_d	91	1.078	0.069	0.132
Aligned_pair3_d	92	1.137	0.077	0.143
Aligned_pair3_d	93	1.206	0.099	0.146
Aligned_pair3_d	94	1.289	0.115	0.16
Aligned_pair3_d	95	1.368	0.132	0.177
Aligned_pair3_d	96	1.368	0.126	0.181
Aligned_pair3_d	97	1.387	0.13	0.188
Aligned_pair3_d	98	1.363	0.129	0.178
Aligned_pair3_d	99	1.353	0.122	0.185
Aligned_pair3_d	100	1.343	0.119	0.178
Aligned_pair3_d	101	1.333	0.115	0.181
Aligned_pair3_d	102	1.328	0.118	0.175
Aligned_pair3_d	103	1.348	0.122	0.177
Aligned_pair3_d	104	1.338	0.119	0.175
Aligned_pair3_d	105	1.377	0.127	0.186
Aligned_pair3_d	106	1.348	0.121	0.179
Aligned_pair3_d	107	1.319	0.113	0.174
Aligned_pair3_d	108	1.309	0.114	0.174
Aligned_pair3_d	109	1.309	0.111	0.175
Aligned_pair3_d	110	1.328	0.117	0.179
Aligned_pair3_d	111	1.363	0.127	0.18
