"fin" "slice" "csa" "second_moment_min" "second_moment_max"
"Aligned_ray1_d" 13 0.05 0.000153 0.000867
"Aligned_ray1_d" 14 0.052 0.000156 0.001
"Aligned_ray1_d" 15 0.053 0.000152 0.001
"Aligned_ray1_d" 16 0.054 0.000153 0.001
"Aligned_ray1_d" 17 0.053 0.000155 0.001
"Aligned_ray1_d" 18 0.052 0.000153 0.000995
"Aligned_ray1_d" 19 0.051 0.000149 0.001
"Aligned_ray1_d" 20 0.054 0.000154 0.001
"Aligned_ray1_d" 21 0.051 0.000149 0.000926
"Aligned_ray1_d" 22 0.05 0.000148 0.000897
"Aligned_ray1_d" 23 0.052 0.000158 0.000972
"Aligned_ray1_d" 24 0.057 0.000198 0.001
"Aligned_ray1_d" 25 0.057 0.000184 0.001
"Aligned_ray1_d" 26 0.058 0.000212 0.001
"Aligned_ray1_d" 27 0.051 0.000158 0.000864
"Aligned_ray1_d" 28 0.053 0.000158 0.000895
"Aligned_ray1_d" 29 0.053 0.000171 0.000868
"Aligned_ray1_d" 30 0.057 0.000179 0.000957
"Aligned_ray1_d" 31 0.064 0.000221 0.001
"Aligned_ray1_d" 32 0.07 0.000289 0.001
"Aligned_ray1_d" 33 0.075 0.000325 0.001
"Aligned_ray1_d" 34 0.075 0.000335 0.001
"Aligned_ray1_d" 35 0.074 0.00031 0.001
"Aligned_ray1_d" 36 0.068 0.000276 0.001
"Aligned_ray1_d" 37 0.064 0.00024 0.000959
"Aligned_ray1_d" 38 0.06 0.000205 0.000894
"Aligned_ray1_d" 39 0.056 0.000196 0.000857
"Aligned_ray1_d" 40 0.054 0.000168 0.00085
"Aligned_ray1_d" 41 0.053 0.000166 0.000813
"Aligned_ray1_d" 42 0.049 0.000151 0.000758
"Aligned_ray1_d" 43 0.049 0.000151 0.00077
"Aligned_ray1_d" 44 0.05 0.000155 0.000768
"Aligned_ray1_d" 45 0.049 0.000154 0.000707
"Aligned_ray1_d" 46 0.053 0.00017 0.000782
"Aligned_ray1_d" 47 0.051 0.000174 0.000747
"Aligned_ray1_d" 48 0.052 0.000178 0.000794
"Aligned_ray1_d" 49 0.053 0.000184 0.000838
"Aligned_ray1_d" 50 0.05 0.000155 0.00075
"Aligned_ray1_d" 51 0.051 0.000164 0.000779
"Aligned_ray1_d" 52 0.049 0.000145 0.000718
"Aligned_ray1_d" 53 0.049 0.000144 0.000739
"Aligned_ray1_d" 54 0.049 0.00015 0.000732
"Aligned_ray1_d" 55 0.05 0.00015 0.000733
"Aligned_ray1_d" 56 0.049 0.00015 0.000747
"Aligned_ray1_d" 57 0.048 0.000142 0.000738
"Aligned_ray1_d" 58 0.047 0.000137 0.000712
"Aligned_ray1_d" 59 0.047 0.000144 0.000709
"Aligned_ray1_d" 60 0.049 0.000157 0.000732
"Aligned_ray1_d" 61 0.053 0.000188 0.000823
"Aligned_ray1_d" 62 0.052 0.000185 0.000827
"Aligned_ray1_d" 63 0.052 0.00018 0.000814
"Aligned_ray1_d" 64 0.05 0.000182 0.000723
"Aligned_ray1_d" 65 0.047 0.000146 0.000724
"Aligned_ray1_d" 66 0.048 0.000142 0.000719
"Aligned_ray1_d" 67 0.047 0.000145 0.000697
"Aligned_ray1_d" 68 0.045 0.00014 0.000691
"Aligned_ray1_d" 69 0.049 0.000163 0.000716
"Aligned_ray1_d" 70 0.049 0.000157 0.000733
"Aligned_ray1_d" 71 0.053 0.000162 0.000788
"Aligned_ray1_d" 72 0.055 0.000193 0.000813
"Aligned_ray1_d" 73 0.058 0.00021 0.000844
"Aligned_ray1_d" 74 0.066 0.000283 0.000976
"Aligned_ray1_d" 75 0.068 0.000295 0.001
"Aligned_ray1_d" 76 0.066 0.000302 0.000824
"Aligned_ray1_d" 77 0.057 0.00022 0.000658
"Aligned_ray1_d" 78 0.059 0.000207 0.000786
"Aligned_ray1_d" 79 0.063 0.000255 0.00082
"Aligned_ray1_d" 80 0.061 0.000242 0.000802
"Aligned_ray1_d" 81 0.058 0.000219 0.000788
"Aligned_ray1_d" 82 0.055 0.000202 0.000808
"Aligned_ray1_d" 83 0.051 0.000169 0.000775
"Aligned_ray1_d" 84 0.05 0.000175 0.000758
"Aligned_ray1_d" 85 0.048 0.000138 0.000759
"Aligned_ray1_d" 86 0.051 0.000152 0.000839
"Aligned_ray1_d" 87 0.052 0.000163 0.00082
"Aligned_ray1_d" 88 0.052 0.000158 0.000867
"Aligned_ray1_d" 89 0.057 0.000211 0.001
"Aligned_ray1_d" 90 0.056 0.000186 0.000988
"Aligned_ray1_d" 91 0.056 0.000184 0.000992
"Aligned_ray1_d" 92 0.051 0.000162 0.000861
"Aligned_ray1_d" 93 0.05 0.000142 0.000825
"Aligned_ray1_d" 94 0.051 0.000167 0.000889
"Aligned_ray1_d" 95 0.051 0.000154 0.000868
"Aligned_ray1_d" 96 0.052 0.000162 0.000821
"Aligned_ray1_d" 97 0.052 0.000157 0.000814
"Aligned_ray1_d" 98 0.052 0.00016 0.000824
"Aligned_ray1_d" 99 0.052 0.00016 0.000844
"Aligned_ray1_d" 100 0.052 0.000159 0.000857
"Aligned_ray1_d" 101 0.055 0.00017 0.000936
"Aligned_ray1_d" 102 0.055 0.000177 0.000948
"Aligned_ray1_d" 103 0.056 0.000178 0.000997
"Aligned_ray1_d" 104 0.058 0.000196 0.001
"Aligned_ray1_d" 105 0.053 0.000171 0.000913
"Aligned_ray1_d" 106 0.051 0.000159 0.000863
"Aligned_ray1_d" 107 0.049 0.000145 0.000786
"Aligned_ray1_d" 108 0.05 0.000149 0.000839
"Aligned_ray1_d" 109 0.053 0.000172 0.000899
"Aligned_ray1_d" 110 0.052 0.000157 0.000859
"Aligned_ray1_d" 111 0.051 0.000156 0.000815
"Aligned_ray1_d" 112 0.052 0.000164 0.00084
"Aligned_ray1_d" 113 0.053 0.000167 0.00086
"Aligned_ray1_d" 114 0.057 0.000203 0.00088
"Aligned_ray1_d" 115 0.059 0.000214 0.000837
"Aligned_ray1_d" 116 0.061 0.000224 0.000794
"Aligned_ray1_d" 117 0.057 0.000214 0.000661
"Aligned_ray1_d" 118 0.057 0.000207 0.000792
"Aligned_ray1_d" 119 0.062 0.000224 0.000866
"Aligned_ray1_d" 120 0.06 2e-04 0.000835
"Aligned_ray1_d" 121 0.056 0.000197 0.000751
"Aligned_ray1_d" 122 0.05 0.000171 0.000679
"Aligned_ray1_d" 123 0.049 0.000163 7e-04
"Aligned_ray1_d" 124 0.047 0.000142 0.000634
"Aligned_ray1_d" 125 0.046 0.000135 0.000634
"Aligned_ray1_d" 126 0.045 0.000151 0.000602
"Aligned_ray1_d" 127 0.045 0.00015 0.000602
"Aligned_ray1_d" 128 0.048 0.000156 0.000679
"Aligned_ray1_d" 129 0.049 0.000175 0.000664
"Aligned_ray1_d" 130 0.044 0.000142 0.000601
"Aligned_ray1_d" 131 0.044 0.000141 0.000593
"Aligned_ray1_d" 132 0.044 0.000139 0.000623
"Aligned_ray1_d" 133 0.043 0.000139 0.00062
"Aligned_ray1_d" 134 0.043 0.000139 0.00062
"Aligned_ray1_d" 135 0.044 0.000143 0.00064
"Aligned_ray1_d" 136 0.044 0.000141 0.000659
"Aligned_ray1_d" 137 0.046 0.000147 0.000667
"Aligned_ray1_d" 138 0.044 0.000136 0.000641
"Aligned_ray1_d" 139 0.045 0.000139 0.000655
"Aligned_ray1_d" 140 0.044 0.000133 0.00063
"Aligned_ray1_d" 141 0.047 0.000148 0.000659
"Aligned_ray1_d" 142 0.047 0.000154 0.00065
"Aligned_ray1_d" 143 0.049 0.000163 0.000724
"Aligned_ray1_d" 144 0.049 0.00016 0.000697
"Aligned_ray1_d" 145 0.042 0.000121 0.000584
"Aligned_ray1_d" 146 0.045 0.000124 0.000609
"Aligned_ray1_d" 147 0.045 0.000125 0.000621
"Aligned_ray1_d" 148 0.044 0.000114 0.000623
"Aligned_ray1_d" 149 0.047 0.000137 0.000678
"Aligned_ray1_d" 150 0.049 0.000146 0.000724
"Aligned_ray1_d" 151 0.05 0.000157 0.000709
"Aligned_ray1_d" 152 0.053 0.000191 0.000656
"Aligned_ray1_d" 153 0.054 0.000204 0.000674
"Aligned_ray1_d" 154 0.057 0.000214 0.000681
"Aligned_ray1_d" 155 0.051 0.00016 0.000705
"Aligned_ray1_d" 156 0.053 0.000167 0.000728
"Aligned_ray1_d" 157 0.058 0.000203 0.000784
"Aligned_ray1_d" 158 0.054 0.000189 0.000758
"Aligned_ray1_d" 159 0.054 0.000188 0.000765
"Aligned_ray1_d" 160 0.05 0.000162 0.000746
"Aligned_ray1_d" 161 0.051 0.000166 0.000734
"Aligned_ray1_d" 162 0.052 0.00019 0.000814
"Aligned_ray1_d" 163 0.052 0.000179 0.000874
"Aligned_ray1_d" 164 0.053 0.000187 0.000852
"Aligned_ray1_d" 165 0.047 0.000138 0.000713
"Aligned_ray1_d" 166 0.047 0.000135 0.000678
"Aligned_ray1_d" 167 0.042 0.000117 0.000581
"Aligned_ray1_d" 168 0.044 0.000131 0.00068
"Aligned_ray1_d" 169 0.046 0.000145 0.000713
"Aligned_ray1_d" 170 0.045 0.000145 0.000705
"Aligned_ray1_d" 171 0.047 0.000156 0.000652
"Aligned_ray1_d" 172 0.045 0.000159 0.000633
"Aligned_ray1_d" 173 0.045 0.000159 0.000642
"Aligned_ray1_d" 174 0.048 0.00018 0.000665
"Aligned_ray1_d" 175 0.043 0.000152 0.000613
"Aligned_ray1_d" 176 0.044 0.000128 0.000618
"Aligned_ray1_d" 177 0.041 0.000117 0.000555
"Aligned_ray1_d" 178 0.04 0.000109 0.00055
"Aligned_ray1_d" 179 0.04 0.000125 0.000486
"Aligned_ray1_d" 180 0.04 0.000129 0.000502
"Aligned_ray1_d" 181 0.042 0.00014 0.000541
"Aligned_ray1_d" 182 0.042 0.000147 0.000534
"Aligned_ray1_d" 183 0.043 0.000149 0.00056
"Aligned_ray1_d" 184 0.044 0.000146 0.00054
"Aligned_ray1_d" 185 0.042 0.000123 0.000517
"Aligned_ray1_d" 186 0.046 0.00015 0.000611
"Aligned_ray1_d" 187 0.046 0.000164 0.000547
"Aligned_ray1_d" 188 0.042 0.000143 0.000502
"Aligned_ray1_d" 189 0.051 0.000214 0.000588
"Aligned_ray1_d" 190 0.051 0.000215 0.000548
"Aligned_ray1_d" 191 0.053 0.000231 0.000548
