"fin" "slice" "csa" "NA" "NA"
"Aligned_ray1_d" 8 0.062341407 0.000198256 0.000647407
"Aligned_ray1_d" 9 0.051951173 0.000156584 0.000365208
"Aligned_ray1_d" 10 0.062341407 0.000225566 0.000476155
"Aligned_ray1_d" 11 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 12 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 13 0.051951173 0.000260896 0.000260896
"Aligned_ray1_d" 14 0.051951173 0.000156584 0.000365208
"Aligned_ray1_d" 15 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 16 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 17 0.051951173 0.000260896 0.000260896
"Aligned_ray1_d" 18 0.031170704 4.2429e-05 0.000299435
"Aligned_ray1_d" 19 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 20 0.051951173 0.000156584 0.000365208
"Aligned_ray1_d" 21 0.041560938 0.000124891 0.000243962
"Aligned_ray1_d" 22 0.051951173 0.000260896 0.000260896
"Aligned_ray1_d" 23 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 24 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 25 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 26 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 27 0.031170704 6.2975e-05 0.000134946
"Aligned_ray1_d" 28 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 29 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 30 0.031170704 6.2975e-05 0.000134946
"Aligned_ray1_d" 31 0.051951173 0.000162244 0.000359548
"Aligned_ray1_d" 32 0.051951173 0.000156584 0.000365208
"Aligned_ray1_d" 33 0.041560938 0.000124891 0.000243962
"Aligned_ray1_d" 34 0.051951173 0.000260896 0.000260896
"Aligned_ray1_d" 35 0.031170704 6.2975e-05 0.000134946
"Aligned_ray1_d" 36 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 37 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 38 0.020780469 2.2526e-05 6.7438e-05
"Aligned_ray1_d" 39 0.031170704 4.1807e-05 0.000300057
"Aligned_ray1_d" 40 0.031170704 3.0213e-05 0.00023968
"Aligned_ray1_d" 41 0.020780469 2.2526e-05 6.7438e-05
"Aligned_ray1_d" 42 0.020780469 2.2526e-05 6.7438e-05
"Aligned_ray1_d" 43 0.031170704 6.2975e-05 0.000134946
"Aligned_ray1_d" 44 0.051951173 0.000162244 0.000359548
"Aligned_ray1_d" 45 0.031170704 6.2975e-05 0.000134946
"Aligned_ray1_d" 46 0.031170704 6.2975e-05 0.000134946
"Aligned_ray1_d" 47 0.031170704 6.2975e-05 0.000134946
"Aligned_ray1_d" 48 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 49 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 50 0.031170704 4.1807e-05 0.000300057
"Aligned_ray1_d" 51 0.031170704 4.1807e-05 0.000300057
"Aligned_ray1_d" 52 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 53 0.041560938 0.000143943 0.000143943
"Aligned_ray1_d" 54 0.031170704 6.2975e-05 0.000134946
