"fin" "slice" "csa" "second_moment_min" "second_moment_max"
"Aligned_pair1_d" 19 0.513 0.014 0.041
"Aligned_pair1_d" 20 0.551 0.016 0.042
"Aligned_pair1_d" 21 0.56 0.018 0.038
"Aligned_pair1_d" 22 0.548 0.016 0.039
"Aligned_pair1_d" 23 0.546 0.016 0.04
"Aligned_pair1_d" 24 0.569 0.017 0.044
"Aligned_pair1_d" 25 0.563 0.017 0.043
"Aligned_pair1_d" 26 0.548 0.016 0.042
"Aligned_pair1_d" 27 0.557 0.016 0.043
"Aligned_pair1_d" 28 0.56 0.016 0.044
"Aligned_pair1_d" 29 0.557 0.016 0.043
"Aligned_pair1_d" 30 0.56 0.016 0.045
"Aligned_pair1_d" 31 0.519 0.014 0.036
"Aligned_pair1_d" 32 0.502 0.013 0.036
"Aligned_pair1_d" 33 0.496 0.012 0.035
"Aligned_pair1_d" 34 0.49 0.012 0.035
"Aligned_pair1_d" 35 0.487 0.012 0.035
"Aligned_pair1_d" 36 0.481 0.011 0.034
"Aligned_pair1_d" 37 0.487 0.011 0.035
"Aligned_pair1_d" 38 0.481 0.011 0.035
"Aligned_pair1_d" 39 0.484 0.011 0.036
"Aligned_pair1_d" 40 0.487 0.011 0.036
"Aligned_pair1_d" 41 0.507 0.013 0.034
"Aligned_pair1_d" 42 0.487 0.012 0.033
"Aligned_pair1_d" 43 0.493 0.012 0.035
"Aligned_pair1_d" 44 0.496 0.012 0.035
"Aligned_pair1_d" 45 0.499 0.012 0.035
"Aligned_pair1_d" 46 0.499 0.012 0.035
"Aligned_pair1_d" 47 0.496 0.012 0.035
"Aligned_pair1_d" 48 0.487 0.012 0.033
"Aligned_pair1_d" 49 0.49 0.012 0.034
"Aligned_pair1_d" 50 0.493 0.012 0.034
"Aligned_pair1_d" 51 0.472 0.011 0.032
"Aligned_pair1_d" 52 0.49 0.012 0.034
"Aligned_pair1_d" 53 0.484 0.011 0.034
"Aligned_pair1_d" 54 0.481 0.011 0.033
"Aligned_pair1_d" 55 0.463 0.01 0.032
"Aligned_pair1_d" 56 0.458 0.011 0.029
"Aligned_pair1_d" 57 0.279 0.004 0.016
"Aligned_pair1_d" 58 0.158 0.005 0.005
"Aligned_pair1_d" 59 0.258 0.004 0.012
"Aligned_pair1_d" 60 0.246 0.004 0.014
"Aligned_pair1_d" 61 0.408 0.009 0.025
"Aligned_pair1_d" 62 0.46 0.009 0.032
"Aligned_pair1_d" 63 0.469 0.01 0.033
"Aligned_pair1_d" 64 0.475 0.01 0.033
"Aligned_pair1_d" 65 0.472 0.01 0.033
"Aligned_pair1_d" 66 0.466 0.01 0.032
"Aligned_pair1_d" 67 0.469 0.01 0.034
"Aligned_pair1_d" 68 0.472 0.01 0.033
"Aligned_pair1_d" 69 0.472 0.01 0.033
"Aligned_pair1_d" 70 0.46 0.01 0.032
"Aligned_pair1_d" 71 0.475 0.011 0.031
"Aligned_pair1_d" 72 0.452 0.01 0.03
"Aligned_pair1_d" 73 0.46 0.011 0.03
"Aligned_pair1_d" 74 0.455 0.01 0.029
"Aligned_pair1_d" 75 0.452 0.01 0.028
"Aligned_pair1_d" 76 0.46 0.011 0.03
"Aligned_pair1_d" 77 0.466 0.011 0.029
"Aligned_pair1_d" 78 0.455 0.011 0.027
"Aligned_pair1_d" 79 0.455 0.011 0.028
"Aligned_pair1_d" 80 0.455 0.012 0.026
"Aligned_pair1_d" 81 0.458 0.012 0.027
"Aligned_pair1_d" 82 0.455 0.012 0.026
"Aligned_pair1_d" 83 0.455 0.012 0.026
"Aligned_pair1_d" 84 0.46 0.012 0.026
"Aligned_pair1_d" 85 0.458 0.012 0.026
"Aligned_pair1_d" 86 0.446 0.011 0.027
"Aligned_pair1_d" 87 0.443 0.011 0.026
"Aligned_pair1_d" 88 0.437 0.01 0.026
"Aligned_pair1_d" 89 0.414 0.009 0.022
"Aligned_pair1_d" 90 0.408 0.009 0.021
"Aligned_pair1_d" 91 0.39 0.009 0.019
"Aligned_pair1_d" 92 0.384 0.008 0.019
"Aligned_pair1_d" 93 0.381 0.008 0.018
"Aligned_pair1_d" 94 0.384 0.008 0.019
"Aligned_pair1_d" 95 0.384 0.008 0.019
"Aligned_pair1_d" 96 0.378 0.008 0.018
"Aligned_pair1_d" 97 0.378 0.008 0.019
"Aligned_pair1_d" 98 0.384 0.008 0.019
"Aligned_pair1_d" 99 0.381 0.008 0.019
"Aligned_pair1_d" 100 0.381 0.008 0.019
"Aligned_pair1_d" 101 0.378 0.008 0.019
"Aligned_pair1_d" 102 0.346 0.006 0.017
"Aligned_pair1_d" 103 0.349 0.006 0.018
"Aligned_pair1_d" 104 0.349 0.006 0.018
"Aligned_pair1_d" 105 0.355 0.006 0.018
"Aligned_pair1_d" 106 0.358 0.007 0.017
"Aligned_pair1_d" 107 0.361 0.006 0.019
"Aligned_pair1_d" 108 0.361 0.006 0.019
"Aligned_pair1_d" 109 0.343 0.006 0.017
"Aligned_pair1_d" 110 0.349 0.006 0.017
"Aligned_pair1_d" 111 0.355 0.007 0.017
"Aligned_pair1_d" 112 0.364 0.007 0.018
"Aligned_pair1_d" 113 0.367 0.007 0.019
"Aligned_pair1_d" 114 0.355 0.006 0.018
"Aligned_pair1_d" 115 0.323 0.005 0.016
"Aligned_pair1_d" 116 0.32 0.005 0.015
"Aligned_pair1_d" 117 0.32 0.005 0.015
"Aligned_pair1_d" 118 0.326 0.005 0.016
"Aligned_pair1_d" 119 0.323 0.005 0.016
"Aligned_pair1_d" 120 0.323 0.005 0.016
"Aligned_pair1_d" 121 0.337 0.006 0.016
"Aligned_pair1_d" 122 0.331 0.005 0.016
"Aligned_pair1_d" 123 0.334 0.005 0.016
"Aligned_pair1_d" 124 0.34 0.006 0.017
"Aligned_pair1_d" 125 0.352 0.006 0.018
"Aligned_pair1_d" 126 0.352 0.006 0.018
"Aligned_pair1_d" 127 0.355 0.006 0.019
"Aligned_pair1_d" 128 0.334 0.005 0.017
"Aligned_pair1_d" 129 0.34 0.006 0.017
"Aligned_pair1_d" 130 0.343 0.006 0.017
"Aligned_pair1_d" 131 0.334 0.006 0.016
"Aligned_pair1_d" 132 0.343 0.006 0.018
"Aligned_pair1_d" 133 0.349 0.006 0.018
"Aligned_pair1_d" 134 0.352 0.006 0.018
"Aligned_pair1_d" 135 0.352 0.006 0.018
"Aligned_pair1_d" 136 0.364 0.007 0.019
"Aligned_pair1_d" 137 0.331 0.005 0.017
"Aligned_pair1_v" 16 0.329 0.005 0.015
"Aligned_pair1_v" 17 0.32 0.005 0.014
"Aligned_pair1_v" 18 0.326 0.006 0.013
"Aligned_pair1_v" 19 0.358 0.007 0.017
"Aligned_pair1_v" 20 0.349 0.007 0.014
"Aligned_pair1_v" 21 0.343 0.006 0.015
"Aligned_pair1_v" 22 0.37 0.007 0.017
"Aligned_pair1_v" 23 0.346 0.007 0.014
"Aligned_pair1_v" 24 0.358 0.007 0.015
"Aligned_pair1_v" 25 0.364 0.007 0.015
"Aligned_pair1_v" 26 0.346 0.006 0.016
"Aligned_pair1_v" 27 0.364 0.007 0.017
"Aligned_pair1_v" 28 0.387 0.008 0.019
"Aligned_pair1_v" 29 0.378 0.008 0.018
"Aligned_pair1_v" 30 0.355 0.006 0.016
"Aligned_pair1_v" 31 0.352 0.007 0.015
"Aligned_pair1_v" 32 0.358 0.006 0.017
"Aligned_pair1_v" 33 0.346 0.006 0.015
"Aligned_pair1_v" 34 0.323 0.006 0.012
"Aligned_pair1_v" 35 0.329 0.006 0.014
"Aligned_pair1_v" 36 0.329 0.006 0.013
"Aligned_pair1_v" 37 0.334 0.006 0.014
"Aligned_pair1_v" 38 0.326 0.006 0.013
"Aligned_pair1_v" 39 0.329 0.005 0.015
"Aligned_pair1_v" 40 0.331 0.006 0.014
"Aligned_pair1_v" 41 0.337 0.006 0.014
"Aligned_pair1_v" 42 0.337 0.006 0.015
"Aligned_pair1_v" 43 0.355 0.006 0.017
"Aligned_pair1_v" 44 0.358 0.006 0.018
"Aligned_pair1_v" 45 0.352 0.006 0.017
"Aligned_pair1_v" 46 0.358 0.006 0.018
